sys.exec.out.time {s},rkt.dynamics.lonx {degree},rkt.dynamics.latx {degree},rkt.dynamics.alt {m},rkt.dynamics._dvbi {m/s},rkt.dynamics._SBII[0] {1},rkt.dynamics._SBII[1] {1},rkt.dynamics._SBII[2] {1},rkt.dynamics._VBII[0] {1},rkt.dynamics._VBII[1] {1},rkt.dynamics._VBII[2] {1},rkt.dynamics.thtbdx {degree}
               165.6,    121.001803884493,   22.26148325660877,   87206.76759892236,   983.6691121829341,   5252100.964909401,  -2879897.657713564,   2425469.955415976,   917.4176379813844,   212.3618494469329,   284.3452912972141,   75.91069891519741
               165.7,   121.0019866215971,   22.26148206937173,   87282.55397530086,   984.1331486497954,   5252192.728044848,  -2879876.414781522,   2425498.396213819,   917.8450782230548,   212.4968535771112,   284.4706555567774,   75.89442441576925
               165.8,   121.0021696552308,   22.26148087933303,   87358.37438128423,   984.5972906456536,   5252284.533926504,  -2879855.158330353,   2425526.849545081,   918.2725621343903,   212.6322320585772,   284.5959596826552,   75.87814119833958
               165.9,   121.0023529847917,    22.2614796864877,    87434.2288023755,   985.0615378041542,   5252376.382558716,  -2879833.888322607,   2425555.315403741,   918.7000892840916,   212.7679851517011,   284.7212034692407,    75.8618492619391
                 166,   121.0025366115094,   22.26147849083073,   87510.11722402927,    985.525889758656,   5252468.273945787,  -2879812.604720809,   2425583.793783755,   919.1276592402696,   212.9041131165999,   284.8463867106752,   75.84554860389774
               166.1,   121.0027205347807,    22.2614772923571,   87586.03963164054,   985.9903461422404,   5252560.208091974,  -2879791.307487462,   2425612.284679056,   919.5552715704143,    213.040616213158,   284.9715092009631,   75.82923922205376
               166.2,   121.0029047558417,   22.26147609106181,   87661.99601056334,   986.4549065877164,   5252652.185001498,  -2879769.996585037,    2425640.78808356,   919.9829258414054,   213.1774947009982,   285.0965707339768,   75.81292111426869
               166.3,   121.0030892740842,   22.26147488693983,   87737.98634609301,   986.9195707276155,    5252744.20467853,  -2879748.671975983,   2425669.303991162,   920.4106216195131,   213.3147488395022,   285.2215711034181,   75.79659427836646
               166.4,   121.0032740907436,   22.26147367998614,    87814.0106234625,   987.3843381941907,   5252836.267127195,  -2879727.333622722,   2425697.832395733,   920.8383584704004,   213.4523788878014,   285.3465101028164,   75.78025871219587
               166.5,   121.0034592052142,   22.26147247019573,   87890.06882786285,     987.84920861942,   5252928.372351579,  -2879705.981487649,   2425726.373291129,   921.2661359591225,   213.5903851047777,   285.4713875255359,   75.76391441361814
               166.6,   121.0036446187296,   22.26147125756353,   87966.16094443109,   988.3141816349749,   5253020.520355728,  -2879684.615533136,   2425754.926671178,   921.6939536500971,   213.7287677490559,   285.5962031647706,   75.74756138050419
               166.7,   121.0038303306866,   22.26147004208449,   88042.28695824929,   988.7792568722713,   5253112.711143635,  -2879663.235721526,   2425783.492529691,   922.1218111071516,   213.8675270790183,   285.7209568135544,   75.73119961077175
               166.8,   121.0040163423172,   22.26146882375357,   88118.44685434923,   989.2444339624291,   5253204.944719261,  -2879641.842015137,   2425812.070860462,    922.549707893487,   214.0066633527822,   285.8456482647538,   75.71482910232322
               166.9,   121.0042026530165,   22.26146760256574,   88194.64061770495,   989.7097125362745,   5253297.221086511,  -2879620.434376264,   2425840.661657261,   922.9776435716781,   214.1461768282145,    285.970277311064,    75.6984498530516
                 167,   121.0043892640183,    22.2614663785159,   88270.86823324021,   990.1750922243612,   5253389.540249258,  -2879599.012767172,   2425869.264913836,   923.4056177036916,    214.286067762934,   286.0948437450157,    75.6820618608793
               167.1,   121.0045761747191,   22.26146515159899,   88347.12968582753,    990.640572656945,   5253481.902211321,  -2879577.577150103,   2425897.880623913,   923.8336298508659,   214.4263364142993,   286.2193473589703,   75.66566512376809
               167.2,   121.0047633863511,   22.26146392180991,   88423.42496028543,   991.1061534639921,    5253574.30697648,  -2879556.127487273,   2425926.508781202,   924.2616795739156,   214.5669830394096,    286.343787945121,   75.64925963968237
               167.3,   121.0049508983094,   22.26146268914361,   88499.75404137559,    991.571834275176,   5253666.754548475,  -2879534.663740872,    2425955.14937939,   924.6897664329298,    214.708007895107,   286.4681652954925,   75.63284540661783
               167.4,   121.0051387113692,   22.26146145359499,   88576.11691380758,   992.0376147198787,   5253759.244930994,  -2879513.185873062,   2425983.802412143,   925.1178899873723,   214.8494112379728,    286.592479201941,   75.61642242299182
               167.5,   121.0053268263023,   22.26146021515894,   88652.51356224529,   992.5034944271875,   5253851.778127683,  -2879491.693845983,   2426012.467873107,    925.546049796079,   214.9911933243295,   286.7167294561532,   75.59999068554414
               167.6,   121.0055152425065,   22.26145897383038,   88728.94397128746,   992.9694730258841,   5253944.354142148,  -2879470.187621746,   2426041.145755904,   925.9742454172475,   215.1333544102316,   286.8409158496443,   75.58355019398594
               167.7,   121.0057039612136,   22.26145772960417,   88805.40812548622,   993.4355501444707,   5254036.972977947,  -2879448.667162441,   2426069.836054139,   926.4024764084593,   215.2758947514843,   286.9650381737625,   75.56710094464258
               167.8,   121.0058929818179,   22.26145648247519,   88881.90600934066,   993.9017254111424,   5254129.634638596,  -2879427.132430128,   2426098.538761393,    926.830742326656,    215.418814603624,   287.0890962196843,   75.55064293729724
               167.9,   121.0060823055554,   22.26145523243834,   88958.43760729395,    994.367998453782,   5254222.339127565,  -2879405.583386843,    2426127.25387123,   927.2590427281342,   215.5621142219153,   287.2130897784132,   75.53417616833143
                 168,   121.0062719318204,   22.26145397948848,   89035.00290373806,   994.8343688999857,   5254315.086448277,  -2879384.019994599,    2426155.98137719,   927.6873771685683,   215.7057938613627,   287.3370186407849,   75.51770063755717
               168.1,   121.0064618618462,   22.26145272362047,   89111.60188359953,   995.3008533627102,   5254407.876604672,  -2879362.442215508,   2426184.721273014,    928.115762226282,   215.8498498040506,   287.4608894288676,   75.50121634134267
               168.2,   121.0066520950375,   22.26145146482913,   89188.23453430273,   995.7674702798636,   5254500.709603024,  -2879340.850012216,   2426213.473553384,   928.5442163072631,   215.9942779207701,    287.584709495089,   75.48472327928488
               168.3,   121.0068426326371,   22.26145020310922,   89264.90084391087,   996.2342193356435,   5254593.585450222,  -2879319.243347492,   2426242.238213214,   928.9727390213897,    216.139078476772,   287.7084786474111,   75.46822144793778
               168.4,   121.0070334740496,   22.26144893845557,   89341.60080043506,   996.7011002139478,   5254686.504153107,  -2879297.622184079,   2426271.015247407,   929.4013299779318,   216.2842517370642,   287.8321966936356,   75.45171084767853
               168.5,   121.0072246205166,   22.26144767086294,   89418.33439183515,   997.1681125983799,   5254779.465718483,  -2879275.986484695,   2426299.804650839,   929.8299887855585,   216.4297979664039,   287.9558634414049,   75.43519147568828
               168.6,   121.0074160714442,   22.26144640032614,   89495.10160603095,   997.6352561722471,   5254872.470153116,  -2879254.336212028,   2426328.606418376,   930.2587150523357,   216.5757174293028,   288.0794786981975,   75.41866333263584
               168.7,   121.0076078280756,   22.26144512683991,   89571.90243088361,   998.1025306185587,   5254965.517463733,  -2879232.671328743,   2426357.420544855,   930.6875083857228,   216.7220103900376,   288.2030422713239,   75.40212641578023
               168.8,   121.0077998898146,   22.26144385039904,   89648.73685421236,   998.5699356200355,   5255058.607657021,  -2879210.991797475,     2426386.2470251,    931.116368392581,   216.8686771126501,   288.3265539679313,   75.38558072580119
               168.9,    121.007992257906,   22.26144257099827,   89725.60486377776,   999.0374708591073,   5255151.740739621,  -2879189.297580836,   2426415.085853911,   931.5452946791693,    217.015717860955,       288.450013595,   75.36902625999085
                 169,   121.0081849317521,   22.26144128863236,   89802.50644730125,   999.5051360179245,   5255244.916718152,  -2879167.588641408,   2426443.937026074,   931.9742868511565,    217.163132898534,   288.5734209593494,   75.35246301910401
               169.1,    121.008377912596,   22.26144000329604,   89879.44159245491,   999.9729307783122,   5255338.135599177,  -2879145.864941753,   2426472.800536352,   932.4033445135783,   217.3109224887202,   288.6967758676254,   75.33589100051076
               169.2,   121.0085711998465,   22.26143871498407,   89956.41028685402,   1000.440854821816,   5255431.397389227,  -2879124.126444399,   2426501.676379492,   932.8324672708791,   217.4590868946184,   288.8200781263112,   75.31931020501936
               169.3,   121.0087647947422,   22.26143742369114,   90033.41251807287,   1000.908907829678,   5255524.702094791,  -2879102.373111854,   2426530.564550215,   933.2616547268907,   217.6076263790879,   288.9433275417234,   75.30272063009504
               169.4,   121.0089586966909,   22.26143612941201,   90110.44827362895,   1001.377089482844,   5255618.049722319,  -2879080.604906595,    2426559.46504323,    933.690906484838,   217.7565412047426,   289.0665239200138,   75.28612227660312
               169.5,   121.0091529069343,   22.26143483214137,   90187.51754099317,   1001.845399461942,   5255711.440278222,  -2879058.821791076,   2426588.377853223,   934.1202221473194,   217.9058316339521,   289.1896670671619,   75.26951514200962
               169.6,   121.0093474248764,   22.26143353187393,   90264.62030759081,   1002.313837447318,   5255804.873768871,  -2879037.023727721,   2426617.302974861,   934.5496013163379,   218.0554979288502,   289.3127567889858,    75.2528992267964
               169.7,   121.0095422517638,   22.26143222860441,   90341.75656078942,   1002.782403119004,   5255898.350200593,  -2879015.210678934,   2426646.240402791,   934.9790435932739,   218.2055403513243,   289.4357928911323,   75.23627452975609
               169.8,   121.0097373869981,   22.26143092232749,   90418.92628791463,   1003.251096156731,   5255991.869579681,  -2878993.382607087,   2426675.190131642,    935.408548578893,   218.3559591630147,    289.558775179082,   75.21964105014183
               169.9,   121.0099328318241,   22.26142961303788,   90496.12947624084,   1003.719916239913,   5256085.431912388,  -2878971.539474528,   2426704.152156024,   935.8381158733376,   218.5067546253117,   289.6817034581453,   75.20299878722881
                 170,   121.0101285856453,   22.26142830073024,   90573.36611299217,   1004.188863047667,    5256179.03720492,   -2878949.68124358,   2426733.126470525,   936.2677450761392,   218.6579269993591,   289.8045775334672,    75.1863477403075
               170.1,   121.0103246497081,   22.26142698539924,   90650.63618534338,   1004.657936258796,   5256272.685463456,  -2878927.807876538,   2426762.113069716,    936.697435786203,   218.8094765460515,   289.9273972100217,   75.16968790867976
               170.2,   121.0105210234143,   22.26142566703956,   90727.93968042079,   1005.127135551791,    5256366.37669412,  -2878905.919335673,   2426791.111948146,   937.1271876018147,   218.9614035260322,   290.0501622926147,    75.1530192916823
               170.3,    121.010717708008,   22.26142434564585,     90805.276585293,   1005.596460604836,   5256460.110903002,  -2878884.015583227,   2426820.123100346,   937.5570001206391,   219.1137081996879,   290.1728725858852,    75.1363418886657
               170.4,   121.0109147028958,   22.26142302121276,   90882.64688698761,   1006.065911095753,   5256553.888096155,  -2878862.096581419,   2426849.146520827,   937.9868729463699,   219.2663908233637,   290.2955278754997,    75.1196556989714
               170.5,   121.0111120093196,    22.2614216937349,   90960.05057248473,   1006.535486702031,   5256647.708279591,  -2878840.162292439,   2426878.182204077,   938.4168056895354,   219.4194516489536,   290.4181279259523,   75.10296072209228
